All,Wszystko
None,Brak
"Allowed Scopes","Dopuszczalne zakresy"
"You need more permissions to delete this item(s): %1.","Potrzebujesz większych uprawnień, aby usunąć przedmiot(y): %1."
"You need more permissions to apply some of the rule updates.","Potrzebujesz więcej uprawnień do stosowania niektórych reguł aktualizacji."
"Please assign this entity to a store view.","Proszę przydzielić jednostkę do widoku sklepu."
"You can create orders only in an active store.","Możesz tworzyć zamówienia tylko w aktywnym sklepie."
"Please assign this item to a store view.","Proszę przydzielić ten przedmiot do widoku sklepu."
"You need more permissions to save this item.","Potrzebujesz większych uprawnień, aby zapisać ten element."
"You need more permissions to delete this item.","Potrzebujesz większych uprawnień, aby usunąć ten element."
"You need more permissions to view this item.","Potrzebujesz większych uprawnień, aby zobaczyć ten element."
"Please specify at least one website or one store group.","Proszę określić przynajmniej jedną stronę lub jedną grupę stron."
"You need more permissions to set All Scopes to a Role.","Potrzebujesz więcej uprawnień, aby przypisać Wszystkie Zakresy do roli."
"Incorrect website ID: %1","Nieprawidłowe ID strony: %1"
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1""."
"Incorrect store ID: %1","Nieprawidłowe ID sklepu: %1"
"You need more permissions to save this setting.","Potrzebujesz większych uprawnień, aby zapisać to ustawienie."
"Role Scopes","Zakresy ról"
Custom,Niestandardowe
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Nie posiadasz uprawnień, aby zapisać ten przedmiot w aktualnym sklepie. Proszę, zmień na dozwolony widok sklepu"
"More permissions are needed to delete the ""%1"" item.","Więcej uprawnień jest potrzebnych do usunięcia elementu ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ten obiekt musi być przypisany do widoku sklepu. Sprawdź przypisanie i spróbuj ponownie."
"Orders can only be completed in an active store. Verify the store and try again.","Zamówienia mogą być realizowane tylko w aktywnym sklepie. Zweryfikuj sklep i spróbuj ponownie."
